old_muni,new_muni,old_county,new_county,named_dialect,numeric_dialect
Risør,Risør,Aust-Agder,Agder,Sørlandsk,20
Grimstad,Grimstad,Aust-Agder,Agder,Sørlandsk,20
Arendal,Arendal,Aust-Agder,Agder,Sørlandsk,20
Kristiansand,Kristiansand,Vest-Agder,Agder,Sørlandsk,19
Songdalen,Kristiansand,Vest-Agder,Agder,Sørlandsk,19
Søgne,Kristiansand,Vest-Agder,Agder,Sørlandsk,19
Mandal,Lindesnes,Vest-Agder,Agder,Sørlandsk,19
Marnardal,Lindesnes,Vest-Agder,Agder,Sørlandsk,19
Lindesnes,Lindesnes,Vest-Agder,Agder,Sørlandsk,19
Farsund,Farsund,Vest-Agder,Agder,Sørvestlandsk,19
Flekkefjord,Flekkefjord,Vest-Agder,Agder,Sørvestlandsk,19
Gjerstad,Gjerstad,Aust-Agder,Agder,Sørlandsk,20
Vegårshei,Vegårshei,Aust-Agder,Agder,Sørlandsk,20
Tvedestrand,Tvedestrand,Aust-Agder,Agder,Sørlandsk,20
Froland,Froland,Aust-Agder,Agder,Sørlandsk,20
Lillesand,Lillesand,Aust-Agder,Agder,Sørlandsk,20
Birkenes,Birkenes,Aust-Agder,Agder,Sørlandsk,20
Åmli,Åmli,Aust-Agder,Agder,Sørlandsk,20
Iveland,Iveland,Aust-Agder,Agder,Sørlandsk,20
Evje og Hornnes,Evje og Hornnes,Aust-Agder,Agder,Sørlandsk,20
Bygland,Bygland,Aust-Agder,Agder,Sørlandsk,20
Valle,Valle,Aust-Agder,Agder,Sørlandsk,20
Bykle,Bykle,Aust-Agder,Agder,Sørlandsk,20
Vennesla,Vennesla,Vest-Agder,Agder,Sørlandsk,19
Åseral,Åseral,Vest-Agder,Agder,Sørvestlandsk,19
Audnedal,Lyngdal,Vest-Agder,Agder,Sørvestlandsk,19
Lyngdal,Lyngdal,Vest-Agder,Agder,Sørvestlandsk,19
Hægebostad,Hægebostad,Vest-Agder,Agder,Sørvestlandsk,19
Kvinesdal,Kvinesdal,Vest-Agder,Agder,Sørvestlandsk,19
Sirdal,Sirdal,Vest-Agder,Agder,Sørvestlandsk,19
Alvdal,Alvdal,Hedmark,Innlandet,Østlandsk,21
Dovre,Dovre,Oppland,Innlandet,Midlandsk,21
Eidskog,Eidskog,Hedmark,Innlandet,Østlandsk,21
Elverum,Elverum,Hedmark,Innlandet,Østlandsk,21
Engerdal,Engerdal,Hedmark,Innlandet,Østlandsk,21
Etnedal,Etnedal,Oppland,Innlandet,Midlandsk,21
Folldal,Folldal,Hedmark,Innlandet,Østlandsk,21
Gausdal,Gausdal,Oppland,Innlandet,Midlandsk,21
Gjøvik,Gjøvik,Oppland,Innlandet,Østlandsk,21
Gran,Gran,Oppland,Innlandet,Østlandsk,21
Grue,Grue,Hedmark,Innlandet,Østlandsk,21
Hamar,Hamar,Hedmark,Innlandet,Østlandsk,21
Kongsvinger,Kongsvinger,Hedmark,Innlandet,Østlandsk,21
Lesja,Lesja,Oppland,Innlandet,Midlandsk,21
Lillehammer,Lillehammer,Oppland,Innlandet,Østlandsk,21
Lom,Lom,Oppland,Innlandet,Midlandsk,21
Løten,Løten,Hedmark,Innlandet,Østlandsk,21
Nord-Aurdal,Nord-Aurdal,Oppland,Innlandet,Midlandsk,21
Nord-Fron,Nord-Fron,Oppland,Innlandet,Midlandsk,21
Nord-Odal,Nord-Odal,Hedmark,Innlandet,Østlandsk,21
Nordre Land,Nordre Land,Oppland,Innlandet,Østlandsk,21
Os,Os,Hedmark,Innlandet,Østlandsk,21
Rendalen,Rendalen,Hedmark,Innlandet,Østlandsk,21
Ringebu,Ringebu,Oppland,Innlandet,Midlandsk,21
Ringsaker,Ringsaker,Hedmark,Innlandet,Østlandsk,21
Sel,Sel,Oppland,Innlandet,Midlandsk,21
Skjåk,Skjåk,Oppland,Innlandet,Midlandsk,21
Stange,Stange,Hedmark,Innlandet,Østlandsk,21
Stor-Elvdal,Stor-Elvdal,Hedmark,Innlandet,Østlandsk,21
Søndre Land,Søndre Land,Oppland,Innlandet,Østlandsk,21
Sør-Aurdal,Sør-Aurdal,Oppland,Innlandet,Midlandsk,21
Sør-Fron,Sør-Fron,Oppland,Innlandet,Midlandsk,21
Sør-Odal,Sør-Odal,Hedmark,Innlandet,Østlandsk,21
Tolga,Tolga,Hedmark,Innlandet,Østlandsk,21
Trysil,Trysil,Hedmark,Innlandet,Østlandsk,21
Tynset,Tynset,Hedmark,Innlandet,Østlandsk,21
Vang,Vang,Oppland,Innlandet,Midlandsk,21
Vestre Slidre,Vestre Slidre,Oppland,Innlandet,Midlandsk,21
Vestre Toten,Vestre Toten,Oppland,Innlandet,Østlandsk,21
Vågå,Vågå,Oppland,Innlandet,Midlandsk,21
Våler,Våler,Hedmark,Innlandet,Østlandsk,21
Østre Toten,Østre Toten,Oppland,Innlandet,Østlandsk,21
Øyer,Øyer,Oppland,Innlandet,Midlandsk,21
Øystre Slidre,Øystre Slidre,Oppland,Innlandet,Midlandsk,21
Åmot,Åmot,Hedmark,Innlandet,Østlandsk,21
Åsnes,Åsnes,Hedmark,Innlandet,Østlandsk,21
Bremsnes,Kristiansund,,Møre og Romsdal,Uttrøndersk,8
Grip,Kristiansund,,Møre og Romsdal,Uttrøndersk,8
Frei,Kristiansund,,Møre og Romsdal,Uttrøndersk,8
,Kristiansund,,Møre og Romsdal,Uttrøndersk,8
Eresfjord og Vistdal,Molde,,Møre og Romsdal,Nordvestlandsk,11
Nesset,Molde,,Møre og Romsdal,Nordvestlandsk,11
Bolsøy,Molde,,Møre og Romsdal,Nordvestlandsk,11
Midsund,Molde,,Møre og Romsdal,Nordvestlandsk,11
Sør-Aukra,Molde,,Møre og Romsdal,Nordvestlandsk,11
,Molde,,Møre og Romsdal,Nordvestlandsk,11
Ørskog,Ålesund,,Møre og Romsdal,Nordvestlandsk,12
Skodje,Ålesund,,Møre og Romsdal,Nordvestlandsk,12
Vatne,Ålesund,,Møre og Romsdal,Nordvestlandsk,12
Borgund,Ålesund,,Møre og Romsdal,Nordvestlandsk,12
Haram,Ålesund,,Møre og Romsdal,Nordvestlandsk,12
Sandøy,Ålesund,,Møre og Romsdal,Nordvestlandsk,12
,Ålesund,,Møre og Romsdal,Nordvestlandsk,12
Syvde,Vanylven,,Møre og Romsdal,Nordvestlandsk,12
Rovde,Vanylven,,Møre og Romsdal,Nordvestlandsk,12
,Vanylven,,Møre og Romsdal,Nordvestlandsk,12
Rovde,Sande,,Møre og Romsdal,Nordvestlandsk,12
,Sande,,Møre og Romsdal,Nordvestlandsk,12
,Herøy,,Møre og Romsdal,Nordvestlandsk,12
,Ulstein,,Møre og Romsdal,Nordvestlandsk,12
,Hareid,,Møre og Romsdal,Nordvestlandsk,12
Vartdal,Ørsta,,Møre og Romsdal,Nordvestlandsk,12
Hjørundfjord,Ørsta,,Møre og Romsdal,Nordvestlandsk,12
,Ørsta,,Møre og Romsdal,Nordvestlandsk,12
Sunnylven,Stranda,,Møre og Romsdal,Nordvestlandsk,12
,Stranda,,Møre og Romsdal,Nordvestlandsk,12
,Sykkylven,,Møre og Romsdal,Nordvestlandsk,12
,Sula,,Møre og Romsdal,Nordvestlandsk,12
Vigra,Giske,,Møre og Romsdal,Nordvestlandsk,12
,Giske,,Møre og Romsdal,Nordvestlandsk,12
Tresfjord,Vestnes,,Møre og Romsdal,Nordvestlandsk,12
,Vestnes,,Møre og Romsdal,Nordvestlandsk,12
Voll,Rauma,,Møre og Romsdal,Nordvestlandsk,11
Eid og Voll,Rauma,,Møre og Romsdal,Nordvestlandsk,11
Eid,Rauma,,Møre og Romsdal,Nordvestlandsk,11
Grytten,Rauma,,Møre og Romsdal,Nordvestlandsk,11
Hen,Rauma,,Møre og Romsdal,Nordvestlandsk,11
Veøy,Rauma,,Møre og Romsdal,Nordvestlandsk,11
,Rauma,,Møre og Romsdal,Nordvestlandsk,11
Sandøy,Aukra,,Møre og Romsdal,Nordvestlandsk,12
,Aukra,,Møre og Romsdal,Nordvestlandsk,11
Kornstad,Averøy,,Møre og Romsdal,Uttrøndersk,8
Kvernes,Averøy,,Møre og Romsdal,Uttrøndersk,8
Bremsnes,Averøy,,Møre og Romsdal,Uttrøndersk,8
,Averøy,,Møre og Romsdal,Uttrøndersk,8
Kvernes,Gjemnes,,Møre og Romsdal,Nordvestlandsk,8
Øre,Gjemnes,,Møre og Romsdal,Nordvestlandsk,8
,Gjemnes,,Møre og Romsdal,Nordvestlandsk,8
Straumsnes,Tingvoll,,Møre og Romsdal,Uttrøndersk,8
Stangvik,Tingvoll,,Møre og Romsdal,Uttrøndersk,8
,Tingvoll,,Møre og Romsdal,Uttrøndersk,8
Øksendal,Sunndal,,Møre og Romsdal,Uttrøndersk,8
Ålvundeid,Sunndal,,Møre og Romsdal,Uttrøndersk,8
Stangvik,Sunndal,,Møre og Romsdal,Uttrøndersk,8
,Sunndal,,Møre og Romsdal,Uttrøndersk,8
Stangvik,Surnadal,,Møre og Romsdal,Uttrøndersk,8
Åsskard,Surnadal,,Møre og Romsdal,Uttrøndersk,8
,Surnadal,,Møre og Romsdal,Uttrøndersk,8
Edøy,Smøla,,Møre og Romsdal,Uttrøndersk,8
Brattvær,Smøla,,Møre og Romsdal,Uttrøndersk,8
Hopen,Smøla,,Møre og Romsdal,Uttrøndersk,8
,Smøla,,Møre og Romsdal,Uttrøndersk,8
Stemshaug,Aure,,Møre og Romsdal,Uttrøndersk,8
Valsøyfjord,Aure,,Møre og Romsdal,Uttrøndersk,8
Tustna,Aure,,Møre og Romsdal,Uttrøndersk,8
,Aure,,Møre og Romsdal,Uttrøndersk,8
Hornindal,Volda,,Møre og Romsdal,Nordvestlandsk,12
Dalsfjord,Volda,,Møre og Romsdal,Nordvestlandsk,12
,Volda,,Møre og Romsdal,Nordvestlandsk,12
Norddal,Fjord,,Møre og Romsdal,Nordvestlandsk,12
Stordal,Fjord,,Møre og Romsdal,Nordvestlandsk,12
,Fjord,,Møre og Romsdal,Nordvestlandsk,12
Fræna,Hustadvika,,Møre og Romsdal,Nordvestlandsk,11
Bud,Hustadvika,,Møre og Romsdal,Nordvestlandsk,11
Hustad,Hustadvika,,Møre og Romsdal,Nordvestlandsk,11
Eide,Hustadvika,,Møre og Romsdal,Nordvestlandsk,11
,Hustadvika,,Møre og Romsdal,Nordvestlandsk,11
Skjerstad,Bodø,,Nordland,Nordlandsk,5
Bodin,Bodø,,Nordland,Nordlandsk,5
Kjerringøy,Bodø,,Nordland,Nordlandsk,5
Nordfold-Kjerringøy,Bodø,,Nordland,Nordlandsk,5
,Bodø,,Nordland,Nordlandsk,5
Narvik,Narvik,,Nordland,Nordlandsk,4
Tysfjord,Narvik,,Nordland,Nordlandsk,4
Ofoten,Narvik,,Nordland,Nordlandsk,4
Ballangen,Narvik,,Nordland,Nordlandsk,4
Ankenes,Narvik,,Nordland,Nordlandsk,4
,Bindal,,Nordland,Helgelandsk,8
,Sømna,,Nordland,Helgelandsk,7
Brønnøysund,Brønnøy,,Nordland,Helgelandsk,7
Velfjord,Brønnøy,,Nordland,Helgelandsk,7
Brønnøy,Brønnøy,,Nordland,Helgelandsk,7
Tjøtta,Vega,,Nordland,Helgelandsk,7
,Vega,,Nordland,Helgelandsk,7
,Vevelstad,,Nordland,Helgelandsk,7
,Herøy,,Nordland,Helgelandsk,7
Stamnes,Alstahaug,,Nordland,Helgelandsk,7
Tjøtta,Alstahaug,,Nordland,Helgelandsk,7
,Alstahaug,,Nordland,Helgelandsk,7
Stamnes,Leirfjord,,Nordland,Helgelandsk,7
Tjøtta,Leirfjord,,Nordland,Helgelandsk,7
,Leirfjord,,Nordland,Helgelandsk,7
Mosjøen,Vefsn,,Nordland,Helgelandsk,7
Drevja,Vefsn,,Nordland,Helgelandsk,7
Elsfjord,Vefsn,,Nordland,Helgelandsk,7
,Vefsn,,Nordland,Helgelandsk,7
,Grane,,Nordland,Helgelandsk,7
,Hattfjelldal,,Nordland,Helgelandsk,7
Nordvik,Dønna,,Nordland,Helgelandsk,6
Dønnes,Dønna,,Nordland,Helgelandsk,6
,Dønna,,Nordland,Helgelandsk,6
,Nesna,,Nordland,Helgelandsk,6
Korgen,Hemnes,,Nordland,Helgelandsk,6
Sør-Rana,Hemnes,,Nordland,Helgelandsk,6
,Hemnes,,Nordland,Helgelandsk,6
Mo i Rana,Rana,,Nordland,Helgelandsk,6
Nesna,Rana,,Nordland,Helgelandsk,6
Sør-Rana,Rana,,Nordland,Helgelandsk,6
Nord-Rana,Rana,,Nordland,Helgelandsk,6
,Rana,,Nordland,Helgelandsk,6
,Lurøy,,Nordland,Helgelandsk,6
,Træna,,Nordland,Helgelandsk,6
,Rødøy,,Nordland,Helgelandsk,6
,Meløy,,Nordland,Helgelandsk,6
,Gildeskål,,Nordland,Nordlandsk,5
,Beiarn,,Nordland,Nordlandsk,5
,Saltdal,,Nordland,Nordlandsk,5
,Fauske,,Nordland,Nordlandsk,5
Folden,Sørfold,,Nordland,Nordlandsk,5
Nordfold,Sørfold,,Nordland,Nordlandsk,5
Nordfold-Kjerringøy,Sørfold,,Nordland,Nordlandsk,5
,Sørfold,,Nordland,Nordlandsk,5
Nordfold,Steigen,,Nordland,Nordlandsk,5
Nordfold-Kjerringøy,Steigen,,Nordland,Nordlandsk,5
Leiranger,Steigen,,Nordland,Nordlandsk,5
,Steigen,,Nordland,Nordlandsk,5
,Lødingen,,Nordland,Nordlandsk,4
Ofoten,Evenes,,Nordland,Nordlandsk,4
,Evenes,,Nordland,Nordlandsk,4
,Røst,,Nordland,Nordlandsk,5
,Værøy,,Nordland,Nordlandsk,5
Moskenes,Flakstad,,Nordland,Nordlandsk,5
,Flakstad,,Nordland,Nordlandsk,5
Buksnes,Vestvågøy,,Nordland,Nordlandsk,5
Hol,Vestvågøy,,Nordland,Nordlandsk,5
Borge,Vestvågøy,,Nordland,Nordlandsk,5
Valberg,Vestvågøy,,Nordland,Nordlandsk,5
,Vestvågøy,,Nordland,Nordlandsk,5
Svolvær,Vågan,,Nordland,Nordlandsk,5
Gimsøy,Vågan,,Nordland,Nordlandsk,5
,Vågan,,Nordland,Nordlandsk,5
,Hadsel,,Nordland,Nordlandsk,5
,Bø,,Nordland,Nordlandsk,4
Langenes,Øksnes,,Nordland,Nordlandsk,4
,Øksnes,,Nordland,Nordlandsk,4
,Sortland,,Nordland,Nordlandsk,4
Bjørnskinn,Andøy,,Nordland,Nordlandsk,4
Dverberg,Andøy,,Nordland,Nordlandsk,4
Andenes,Andøy,,Nordland,Nordlandsk,4
,Andøy,,Nordland,Nordlandsk,4
Moskenes,Moskenes,,Nordland,Nordlandsk,5
Hamarøy,Hamarøy,,Nordland,Nordlandsk,5
Tysfjord,Hamarøy,,Nordland,Nordlandsk,4
Oslo,Oslo,Oslo,Oslo,Østlandsk,22
Egersund,Eigersund,,Rogaland,Sørvestlandsk,18
Heskestad,Eigersund,,Rogaland,Sørvestlandsk,18
Helleland,Eigersund,,Rogaland,Sørvestlandsk,18
,Eigersund,,Rogaland,Sørvestlandsk,18
Håland,Stavanger,,Rogaland,Sørvestlandsk,18
Madla,Stavanger,,Rogaland,Sørvestlandsk,18
Hetland,Stavanger,,Rogaland,Sørvestlandsk,18
Fister,Stavanger,,Rogaland,Sørvestlandsk,18
Hjelmeland og Fister,Stavanger,,Rogaland,Sørvestlandsk,18
Sjernarøy,Stavanger,,Rogaland,Sørvestlandsk,18
Finnøy,Stavanger,,Rogaland,Sørvestlandsk,18
Rennesøy,Stavanger,,Rogaland,Sørvestlandsk,18
,Stavanger,,Rogaland,Sørvestlandsk,18
Torvastad,Haugesund,,Rogaland,Sørvestlandsk,18
Skåre,Haugesund,,Rogaland,Sørvestlandsk,18
,Haugesund,,Rogaland,Sørvestlandsk,18
Høyland,Sandnes,,Rogaland,Sørvestlandsk,18
Hetland,Sandnes,,Rogaland,Sørvestlandsk,18
Høle,Sandnes,,Rogaland,Sørvestlandsk,18
Forsand,Sandnes,,Rogaland,Sørvestlandsk,18
,Sandnes,,Rogaland,Sørvestlandsk,18
Sogndal,Sokndal,,Rogaland,Sørvestlandsk,18
,Sokndal,,Rogaland,Sørvestlandsk,18
Heskestad,Lund,,Rogaland,Sørvestlandsk,18
,Lund,,Rogaland,Sørvestlandsk,18
,Bjerkreim,,Rogaland,Sørvestlandsk,18
Ogna,Hå,,Rogaland,Sørvestlandsk,18
Varhaug,Hå,,Rogaland,Sørvestlandsk,18
Nærbø,Hå,,Rogaland,Sørvestlandsk,18
,Hå,,Rogaland,Sørvestlandsk,18
,Klepp,,Rogaland,Sørvestlandsk,18
,Time,,Rogaland,Sørvestlandsk,18
Høle,Gjesdal,,Rogaland,Sørvestlandsk,18
,Gjesdal,,Rogaland,Sørvestlandsk,18
Håland,Sola,,Rogaland,Sørvestlandsk,18
,Sola,,Rogaland,Sørvestlandsk,18
,Randaberg,,Rogaland,Sørvestlandsk,18
Forsand,Strand,,Rogaland,Sørvestlandsk,18
,Strand,,Rogaland,Sørvestlandsk,18
Årdal,Hjelmeland,,Rogaland,Sørvestlandsk,18
Fister,Hjelmeland,,Rogaland,Sørvestlandsk,18
Hjelmeland og Fister,Hjelmeland,,Rogaland,Sørvestlandsk,18
,Hjelmeland,,Rogaland,Sørvestlandsk,18
Sand,Suldal,,Rogaland,Sørvestlandsk,18
Erfjord,Suldal,,Rogaland,Sørvestlandsk,18
Jelsa,Suldal,,Rogaland,Sørvestlandsk,18
Imsland,Suldal,,Rogaland,Sørvestlandsk,18
,Suldal,,Rogaland,Sørvestlandsk,18
,Sauda,,Rogaland,Sørvestlandsk,18
,Kvitsøy,,Rogaland,Sørvestlandsk,18
,Bokn,,Rogaland,Sørvestlandsk,18
Nedstrand,Tysvær,,Rogaland,Sørvestlandsk,18
Avaldsnes,Tysvær,,Rogaland,Sørvestlandsk,18
Skjold,Tysvær,,Rogaland,Sørvestlandsk,18
,Tysvær,,Rogaland,Sørvestlandsk,18
Skudeneshavn,Karmøy,,Rogaland,Sørvestlandsk,18
Kopervik,Karmøy,,Rogaland,Sørvestlandsk,18
Avaldsnes,Karmøy,,Rogaland,Sørvestlandsk,18
Stangaland,Karmøy,,Rogaland,Sørvestlandsk,18
Åkra,Karmøy,,Rogaland,Sørvestlandsk,18
Skudenes,Karmøy,,Rogaland,Sørvestlandsk,18
Torvastad,Karmøy,,Rogaland,Sørvestlandsk,18
,Karmøy,,Rogaland,Sørvestlandsk,18
,Utsira,,Rogaland,Sørvestlandsk,18
Skjold,Vindafjord,,Rogaland,Sørvestlandsk,18
Vats,Vindafjord,,Rogaland,Sørvestlandsk,18
Imsland,Vindafjord,,Rogaland,Sørvestlandsk,18
Vikedal,Vindafjord,,Rogaland,Sørvestlandsk,18
Sandeid,Vindafjord,,Rogaland,Sørvestlandsk,18
Ølen,Vindafjord,,Rogaland,Sørvestlandsk,18
,Vindafjord,,Rogaland,Sørvestlandsk,18
Tromsø,Tromsø,Troms,Troms og Finnmark,Troms-Finnmarks-mål,3
Harstad,Harstad,Troms,Troms og Finnmark,Troms-Finnmarks-mål,3
Bjarkøy,Harstad,Troms,Troms og Finnmark,Troms-Finnmarks-mål,3
Alta,Alta,Finnmark,Troms og Finnmark,Troms-Finnmarks-mål,1
Vardø,Vardø,Finnmark,Troms og Finnmark,Troms-Finnmarks-mål,1
Vadsø,Vadsø,Finnmark,Troms og Finnmark,Troms-Finnmarks-mål,1
Hammerfest,Hammerfest,Finnmark,Troms og Finnmark,Troms-Finnmarks-mål,1
