old_muni,new_muni,old_county,new_county,new_county_2024,named_dialect,numeric_dialect
Risør,Risør,Aust-Agder,Agder,Agder,Sørlandsk,20
Grimstad,Grimstad,Aust-Agder,Agder,Agder,Sørlandsk,20
Arendal,Arendal,Aust-Agder,Agder,Agder,Sørlandsk,20
Kristiansand,Kristiansand,Vest-Agder,Agder,Agder,Sørlandsk,19
Songdalen,Kristiansand,Vest-Agder,Agder,Agder,Sørlandsk,19
Søgne,Kristiansand,Vest-Agder,Agder,Agder,Sørlandsk,19
Mandal,Lindesnes,Vest-Agder,Agder,Agder,Sørlandsk,19
Marnardal,Lindesnes,Vest-Agder,Agder,Agder,Sørlandsk,19
Lindesnes,Lindesnes,Vest-Agder,Agder,Agder,Sørlandsk,19
Farsund,Farsund,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Flekkefjord,Flekkefjord,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Gjerstad,Gjerstad,Aust-Agder,Agder,Agder,Sørlandsk,20
Vegårshei,Vegårshei,Aust-Agder,Agder,Agder,Sørlandsk,20
Tvedestrand,Tvedestrand,Aust-Agder,Agder,Agder,Sørlandsk,20
Froland,Froland,Aust-Agder,Agder,Agder,Sørlandsk,20
Lillesand,Lillesand,Aust-Agder,Agder,Agder,Sørlandsk,20
Birkenes,Birkenes,Aust-Agder,Agder,Agder,Sørlandsk,20
Åmli,Åmli,Aust-Agder,Agder,Agder,Sørlandsk,20
Iveland,Iveland,Aust-Agder,Agder,Agder,Sørlandsk,20
Evje og Hornnes,Evje og Hornnes,Aust-Agder,Agder,Agder,Sørlandsk,20
Bygland,Bygland,Aust-Agder,Agder,Agder,Sørlandsk,20
Valle,Valle,Aust-Agder,Agder,Agder,Sørlandsk,20
Bykle,Bykle,Aust-Agder,Agder,Agder,Sørlandsk,20
Vennesla,Vennesla,Vest-Agder,Agder,Agder,Sørlandsk,19
Åseral,Åseral,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Audnedal,Lyngdal,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Lyngdal,Lyngdal,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Hægebostad,Hægebostad,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Kvinesdal,Kvinesdal,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Sirdal,Sirdal,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Alvdal,Alvdal,Hedmark,Innlandet,Innlandet,Østlandsk,21
Dovre,Dovre,Oppland,Innlandet,Innlandet,Midlandsk,21
Eidskog,Eidskog,Hedmark,Innlandet,Innlandet,Østlandsk,21
Elverum,Elverum,Hedmark,Innlandet,Innlandet,Østlandsk,21
Engerdal,Engerdal,Hedmark,Innlandet,Innlandet,Østlandsk,21
Etnedal,Etnedal,Oppland,Innlandet,Innlandet,Midlandsk,21
Folldal,Folldal,Hedmark,Innlandet,Innlandet,Østlandsk,21
Gausdal,Gausdal,Oppland,Innlandet,Innlandet,Midlandsk,21
Gjøvik,Gjøvik,Oppland,Innlandet,Innlandet,Østlandsk,21
Gran,Gran,Oppland,Innlandet,Innlandet,Østlandsk,21
Grue,Grue,Hedmark,Innlandet,Innlandet,Østlandsk,21
Hamar,Hamar,Hedmark,Innlandet,Innlandet,Østlandsk,21
Kongsvinger,Kongsvinger,Hedmark,Innlandet,Innlandet,Østlandsk,21
Lesja,Lesja,Oppland,Innlandet,Innlandet,Midlandsk,21
Lillehammer,Lillehammer,Oppland,Innlandet,Innlandet,Østlandsk,21
Lom,Lom,Oppland,Innlandet,Innlandet,Midlandsk,21
Løten,Løten,Hedmark,Innlandet,Innlandet,Østlandsk,21
Nord-Aurdal,Nord-Aurdal,Oppland,Innlandet,Innlandet,Midlandsk,21
Nord-Fron,Nord-Fron,Oppland,Innlandet,Innlandet,Midlandsk,21
Nord-Odal,Nord-Odal,Hedmark,Innlandet,Innlandet,Østlandsk,21
Nordre Land,Nordre Land,Oppland,Innlandet,Innlandet,Østlandsk,21
Os,Os,Hedmark,Innlandet,Innlandet,Østlandsk,21
Rendalen,Rendalen,Hedmark,Innlandet,Innlandet,Østlandsk,21
Ringebu,Ringebu,Oppland,Innlandet,Innlandet,Midlandsk,21
Ringsaker,Ringsaker,Hedmark,Innlandet,Innlandet,Østlandsk,21
Sel,Sel,Oppland,Innlandet,Innlandet,Midlandsk,21
Skjåk,Skjåk,Oppland,Innlandet,Innlandet,Midlandsk,21
Stange,Stange,Hedmark,Innlandet,Innlandet,Østlandsk,21
Stor-Elvdal,Stor-Elvdal,Hedmark,Innlandet,Innlandet,Østlandsk,21
Søndre Land,Søndre Land,Oppland,Innlandet,Innlandet,Østlandsk,21
Sør-Aurdal,Sør-Aurdal,Oppland,Innlandet,Innlandet,Midlandsk,21
Sør-Fron,Sør-Fron,Oppland,Innlandet,Innlandet,Midlandsk,21
Sør-Odal,Sør-Odal,Hedmark,Innlandet,Innlandet,Østlandsk,21
Tolga,Tolga,Hedmark,Innlandet,Innlandet,Østlandsk,21
Trysil,Trysil,Hedmark,Innlandet,Innlandet,Østlandsk,21
Tynset,Tynset,Hedmark,Innlandet,Innlandet,Østlandsk,21
Vang,Vang,Oppland,Innlandet,Innlandet,Midlandsk,21
Vestre Slidre,Vestre Slidre,Oppland,Innlandet,Innlandet,Midlandsk,21
Vestre Toten,Vestre Toten,Oppland,Innlandet,Innlandet,Østlandsk,21
Vågå,Vågå,Oppland,Innlandet,Innlandet,Midlandsk,21
Våler,Våler,Hedmark,Innlandet,Østfold,Østlandsk,21
Østre Toten,Østre Toten,Oppland,Innlandet,Innlandet,Østlandsk,21
Øyer,Øyer,Oppland,Innlandet,Innlandet,Midlandsk,21
Øystre Slidre,Øystre Slidre,Oppland,Innlandet,Innlandet,Midlandsk,21
Åmot,Åmot,Hedmark,Innlandet,Innlandet,Østlandsk,21
Åsnes,Åsnes,Hedmark,Innlandet,Innlandet,Østlandsk,21
Bremsnes,Kristiansund,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Grip,Kristiansund,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Frei,Kristiansund,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
,Kristiansund,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Eresfjord og Vistdal,Molde,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Nesset,Molde,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Bolsøy,Molde,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Midsund,Molde,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Sør-Aukra,Molde,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
,Molde,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Ørskog,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Skodje,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Vatne,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Borgund,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Haram,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Sandøy,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Syvde,Vanylven,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Rovde,Vanylven,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Vanylven,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Rovde,Sande,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Sande,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Herøy,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Ulstein,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Hareid,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Vartdal,Ørsta,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Hjørundfjord,Ørsta,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Ørsta,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Sunnylven,Stranda,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Stranda,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Sykkylven,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Sula,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Vigra,Giske,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Giske,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Tresfjord,Vestnes,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Vestnes,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Voll,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Eid og Voll,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Eid,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Grytten,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Hen,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Veøy,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Sandøy,Aukra,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Aukra,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Kornstad,Averøy,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Kvernes,Averøy,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Bremsnes,Averøy,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
,Averøy,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Kvernes,Gjemnes,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,8
Øre,Gjemnes,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,8
,Gjemnes,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,8
Straumsnes,Tingvoll,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Stangvik,Tingvoll,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
,Tingvoll,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Øksendal,Sunndal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Ålvundeid,Sunndal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Stangvik,Sunndal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
,Sunndal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Stangvik,Surnadal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Åsskard,Surnadal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
,Surnadal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Edøy,Smøla,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Brattvær,Smøla,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Hopen,Smøla,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
,Smøla,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Stemshaug,Aure,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Valsøyfjord,Aure,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Tustna,Aure,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
,Aure,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8
Hornindal,Volda,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Dalsfjord,Volda,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Volda,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Norddal,Fjord,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Stordal,Fjord,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
,Fjord,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12
Fræna,Hustadvika,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Bud,Hustadvika,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Hustad,Hustadvika,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Eide,Hustadvika,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
,Hustadvika,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11
Skjerstad,Bodø,,Nordland,Nordland,Nordlandsk,5
Bodin,Bodø,,Nordland,Nordland,Nordlandsk,5
Kjerringøy,Bodø,,Nordland,Nordland,Nordlandsk,5
Nordfold-Kjerringøy,Bodø,,Nordland,Nordland,Nordlandsk,5
,Bodø,,Nordland,Nordland,Nordlandsk,5
Narvik,Narvik,,Nordland,Nordland,Nordlandsk,4
Tysfjord,Narvik,,Nordland,Nordland,Nordlandsk,4
Ofoten,Narvik,,Nordland,Nordland,Nordlandsk,4
Ballangen,Narvik,,Nordland,Nordland,Nordlandsk,4
Ankenes,Narvik,,Nordland,Nordland,Nordlandsk,4
,Bindal,,Nordland,Nordland,Helgelandsk,8
,Sømna,,Nordland,Nordland,Helgelandsk,7
Brønnøysund,Brønnøy,,Nordland,Nordland,Helgelandsk,7
Velfjord,Brønnøy,,Nordland,Nordland,Helgelandsk,7
Brønnøy,Brønnøy,,Nordland,Nordland,Helgelandsk,7
Tjøtta,Vega,,Nordland,Nordland,Helgelandsk,7
,Vega,,Nordland,Nordland,Helgelandsk,7
,Vevelstad,,Nordland,Nordland,Helgelandsk,7
,Herøy,,Nordland,Nordland,Helgelandsk,7
Stamnes,Alstahaug,,Nordland,Nordland,Helgelandsk,7
Tjøtta,Alstahaug,,Nordland,Nordland,Helgelandsk,7
,Alstahaug,,Nordland,Nordland,Helgelandsk,7
Stamnes,Leirfjord,,Nordland,Nordland,Helgelandsk,7
Tjøtta,Leirfjord,,Nordland,Nordland,Helgelandsk,7
,Leirfjord,,Nordland,Nordland,Helgelandsk,7
Mosjøen,Vefsn,,Nordland,Nordland,Helgelandsk,7
Drevja,Vefsn,,Nordland,Nordland,Helgelandsk,7
Elsfjord,Vefsn,,Nordland,Nordland,Helgelandsk,7
,Vefsn,,Nordland,Nordland,Helgelandsk,7
,Grane,,Nordland,Nordland,Helgelandsk,7
,Hattfjelldal,,Nordland,Nordland,Helgelandsk,7
Nordvik,Dønna,,Nordland,Nordland,Helgelandsk,6
Dønnes,Dønna,,Nordland,Nordland,Helgelandsk,6
,Dønna,,Nordland,Nordland,Helgelandsk,6
,Nesna,,Nordland,Nordland,Helgelandsk,6
Korgen,Hemnes,,Nordland,Nordland,Helgelandsk,6
Sør-Rana,Hemnes,,Nordland,Nordland,Helgelandsk,6
,Hemnes,,Nordland,Nordland,Helgelandsk,6
Mo i Rana,Rana,,Nordland,Nordland,Helgelandsk,6
Nesna,Rana,,Nordland,Nordland,Helgelandsk,6
Sør-Rana,Rana,,Nordland,Nordland,Helgelandsk,6
Nord-Rana,Rana,,Nordland,Nordland,Helgelandsk,6
,Rana,,Nordland,Nordland,Helgelandsk,6
,Lurøy,,Nordland,Nordland,Helgelandsk,6
,Træna,,Nordland,Nordland,Helgelandsk,6
,Rødøy,,Nordland,Nordland,Helgelandsk,6
,Meløy,,Nordland,Nordland,Helgelandsk,6
,Gildeskål,,Nordland,Nordland,Nordlandsk,5
,Beiarn,,Nordland,Nordland,Nordlandsk,5
,Saltdal,,Nordland,Nordland,Nordlandsk,5
,Fauske,,Nordland,Nordland,Nordlandsk,5
Folden,Sørfold,,Nordland,Nordland,Nordlandsk,5
Nordfold,Sørfold,,Nordland,Nordland,Nordlandsk,5
Nordfold-Kjerringøy,Sørfold,,Nordland,Nordland,Nordlandsk,5
,Sørfold,,Nordland,Nordland,Nordlandsk,5
Nordfold,Steigen,,Nordland,Nordland,Nordlandsk,5
Nordfold-Kjerringøy,Steigen,,Nordland,Nordland,Nordlandsk,5
Leiranger,Steigen,,Nordland,Nordland,Nordlandsk,5
,Steigen,,Nordland,Nordland,Nordlandsk,5
,Lødingen,,Nordland,Nordland,Nordlandsk,4
Ofoten,Evenes,,Nordland,Nordland,Nordlandsk,4
,Evenes,,Nordland,Nordland,Nordlandsk,4
,Røst,,Nordland,Nordland,Nordlandsk,5
,Værøy,,Nordland,Nordland,Nordlandsk,5
Moskenes,Flakstad,,Nordland,Nordland,Nordlandsk,5
,Flakstad,,Nordland,Nordland,Nordlandsk,5
Buksnes,Vestvågøy,,Nordland,Nordland,Nordlandsk,5
Hol,Vestvågøy,,Nordland,Nordland,Nordlandsk,5
Borge,Vestvågøy,,Nordland,Nordland,Nordlandsk,5
Valberg,Vestvågøy,,Nordland,Nordland,Nordlandsk,5
,Vestvågøy,,Nordland,Nordland,Nordlandsk,5
Svolvær,Vågan,,Nordland,Nordland,Nordlandsk,5
Gimsøy,Vågan,,Nordland,Nordland,Nordlandsk,5
,Vågan,,Nordland,Nordland,Nordlandsk,5
,Hadsel,,Nordland,Nordland,Nordlandsk,5
,Bø,,Nordland,Nordland,Nordlandsk,4
Langenes,Øksnes,,Nordland,Nordland,Nordlandsk,4
,Øksnes,,Nordland,Nordland,Nordlandsk,4
,Sortland,,Nordland,Nordland,Nordlandsk,4
Bjørnskinn,Andøy,,Nordland,Nordland,Nordlandsk,4
Dverberg,Andøy,,Nordland,Nordland,Nordlandsk,4
Andenes,Andøy,,Nordland,Nordland,Nordlandsk,4
,Andøy,,Nordland,Nordland,Nordlandsk,4
Moskenes,Moskenes,,Nordland,Nordland,Nordlandsk,5
Hamarøy,Hamarøy,,Nordland,Nordland,Nordlandsk,5
Tysfjord,Hamarøy,,Nordland,Nordland,Nordlandsk,4
Oslo,Oslo,Oslo,Oslo,Oslo,Østlandsk,22
Egersund,Eigersund,,Rogaland,Rogaland,Sørvestlandsk,18
Heskestad,Eigersund,,Rogaland,Rogaland,Sørvestlandsk,18
Helleland,Eigersund,,Rogaland,Rogaland,Sørvestlandsk,18
,Eigersund,,Rogaland,Rogaland,Sørvestlandsk,18
Håland,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18
Madla,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18
Hetland,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18
Fister,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18
Hjelmeland og Fister,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18
Sjernarøy,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18
Finnøy,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18
Rennesøy,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18
,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18
Torvastad,Haugesund,,Rogaland,Rogaland,Sørvestlandsk,18
Skåre,Haugesund,,Rogaland,Rogaland,Sørvestlandsk,18
,Haugesund,,Rogaland,Rogaland,Sørvestlandsk,18
Høyland,Sandnes,,Rogaland,Rogaland,Sørvestlandsk,18
Hetland,Sandnes,,Rogaland,Rogaland,Sørvestlandsk,18
Høle,Sandnes,,Rogaland,Rogaland,Sørvestlandsk,18
Forsand,Sandnes,,Rogaland,Rogaland,Sørvestlandsk,18
,Sandnes,,Rogaland,Rogaland,Sørvestlandsk,18
Sogndal,Sokndal,,Rogaland,Rogaland,Sørvestlandsk,18
,Sokndal,,Rogaland,Rogaland,Sørvestlandsk,18
Heskestad,Lund,,Rogaland,Rogaland,Sørvestlandsk,18
,Lund,,Rogaland,Rogaland,Sørvestlandsk,18
,Bjerkreim,,Rogaland,Rogaland,Sørvestlandsk,18
Ogna,Hå,,Rogaland,Rogaland,Sørvestlandsk,18
Varhaug,Hå,,Rogaland,Rogaland,Sørvestlandsk,18
Nærbø,Hå,,Rogaland,Rogaland,Sørvestlandsk,18
,Hå,,Rogaland,Rogaland,Sørvestlandsk,18
,Klepp,,Rogaland,Rogaland,Sørvestlandsk,18
,Time,,Rogaland,Rogaland,Sørvestlandsk,18
Høle,Gjesdal,,Rogaland,Rogaland,Sørvestlandsk,18
,Gjesdal,,Rogaland,Rogaland,Sørvestlandsk,18
Håland,Sola,,Rogaland,Rogaland,Sørvestlandsk,18
,Sola,,Rogaland,Rogaland,Sørvestlandsk,18
,Randaberg,,Rogaland,Rogaland,Sørvestlandsk,18
Forsand,Strand,,Rogaland,Rogaland,Sørvestlandsk,18
,Strand,,Rogaland,Rogaland,Sørvestlandsk,18
Årdal,Hjelmeland,,Rogaland,Rogaland,Sørvestlandsk,18
Fister,Hjelmeland,,Rogaland,Rogaland,Sørvestlandsk,18
Hjelmeland og Fister,Hjelmeland,,Rogaland,Rogaland,Sørvestlandsk,18
,Hjelmeland,,Rogaland,Rogaland,Sørvestlandsk,18
Sand,Suldal,,Rogaland,Rogaland,Sørvestlandsk,18
Erfjord,Suldal,,Rogaland,Rogaland,Sørvestlandsk,18
Jelsa,Suldal,,Rogaland,Rogaland,Sørvestlandsk,18
Imsland,Suldal,,Rogaland,Rogaland,Sørvestlandsk,18
,Suldal,,Rogaland,Rogaland,Sørvestlandsk,18
,Sauda,,Rogaland,Rogaland,Sørvestlandsk,18
,Kvitsøy,,Rogaland,Rogaland,Sørvestlandsk,18
,Bokn,,Rogaland,Rogaland,Sørvestlandsk,18
Nedstrand,Tysvær,,Rogaland,Rogaland,Sørvestlandsk,18
Avaldsnes,Tysvær,,Rogaland,Rogaland,Sørvestlandsk,18
Skjold,Tysvær,,Rogaland,Rogaland,Sørvestlandsk,18
,Tysvær,,Rogaland,Rogaland,Sørvestlandsk,18
Skudeneshavn,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18
Kopervik,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18
Avaldsnes,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18
Stangaland,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18
Åkra,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18
Skudenes,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18
Torvastad,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18
,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18
,Utsira,,Rogaland,Rogaland,Sørvestlandsk,18
Skjold,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18
Vats,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18
Imsland,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18
Vikedal,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18
Sandeid,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18
Ølen,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18
