old_muni,new_muni,old_county,new_county,new_county_2024,named_dialect,numeric_dialect
,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18
Tromsø,Tromsø,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Harstad,Harstad,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Bjarkøy,Harstad,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Alta,Alta,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Vardø,Vardø,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Vadsø,Vadsø,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Hammerfest,Hammerfest,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Kvalsund,Hammerfest,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Kvæfjord,Kvæfjord,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Tjeldsund,Tjeldsund,Nordland,Troms og Finnmark,Troms,Troms-Finnmarks-mål,4
Skånland,Tjeldsund,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
,Tjeldsund,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Ibestad,Ibestad,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Gratangen,Gratangen,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Lavangen,Lavangen,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Bardu,Bardu,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Salangen,Salangen,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Målselv,Målselv,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Sørreisa,Sørreisa,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Dyrøy,Dyrøy,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Tranøy,Senja,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Torsken,Senja,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Berg,Senja,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Lenvik,Senja,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
,Senja,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Balsfjord,Balsfjord,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Karlsøy,Karlsøy,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3
Lyngen,Lyngen,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,2
Storfjord,Storfjord,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,2
Kåfjord,Kåfjord,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,2
Skjervøy,Skjervøy,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,2
Nordreisa,Nordreisa,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,2
Kvænangen,Kvænangen,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,2
Kautokeino,Kautokeino,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,2
Loppa,Loppa,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,2
Hasvik,Hasvik,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Måsøy,Måsøy,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Nordkapp,Nordkapp,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Porsanger,Porsanger,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Karasjok,Karasjok,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,2
Lebesby,Lebesby,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Gamvik,Gamvik,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Berlevåg,Berlevåg,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Tana,Tana,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,2
Nesseby,Nesseby,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,2
Båtsfjord,Båtsfjord,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Sør-Varanger,Sør-Varanger,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1
Trondheim,Trondheim,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Klæbu,Trondheim,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Steinkjer,Steinkjer,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Verran,Steinkjer,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Namsos,Namsos,Trøndelag,Trøndelag,Trøndelag,Namdalsk,8
Namdalseid,Namsos,Trøndelag,Trøndelag,Trøndelag,Namdalsk,9
Fosnes,Namsos,Trøndelag,Trøndelag,Trøndelag,Namdalsk,8
Frøya,Frøya,Sør-Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8
Osen,Osen,Sør-Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8
Oppdal,Oppdal,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10
Rennebu,Rennebu,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10
Røros,Røros,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10
Holtålen,Holtålen,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10
Midtre Gauldal,Midtre Gauldal,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10
Melhus,Melhus,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Skaun,Skaun,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Malvik,Malvik,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Selbu,Selbu,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10
Tydal,Tydal,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10
Meråker,Meråker,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Stjørdal,Stjørdal,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Frosta,Frosta,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Levanger,Levanger,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Verdal,Verdal,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Snåsa,Snåsa,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Lierne,Lierne,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Røyrvik,Røyrvik,Nord-Trøndelag,Trøndelag,Trøndelag,Namdalsk,9
Namsskogan,Namsskogan,Nord-Trøndelag,Trøndelag,Trøndelag,Namdalsk,9
Grong,Grong,Nord-Trøndelag,Trøndelag,Trøndelag,Namdalsk,9
Høylandet,Høylandet,Nord-Trøndelag,Trøndelag,Trøndelag,Namdalsk,9
Overhalla,Overhalla,Nord-Trøndelag,Trøndelag,Trøndelag,Namdalsk,9
Flatanger,Flatanger,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,8
Leka,Leka,Nord-Trøndelag,Trøndelag,Trøndelag,Namdalsk,8
Inderøy,Inderøy,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Mosvik,Inderøy,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Rissa,Indre Fosen,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,8
,Indre Fosen,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,8
Leksvik,Indre Fosen,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
,Indre Fosen,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
Halsa,Heim,Møre og Romsdal,Trøndelag,Trøndelag,Uttrøndersk,8
,Heim,Møre og Romsdal,Trøndelag,Trøndelag,Uttrøndersk,8
Hemne,Heim,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8
Snillfjord,Heim,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8
,Heim,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8
Hitra,Hitra,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8
Snillfjord,Hitra,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8
Ørland,Ørland,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8
Bjugn,Ørland,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8
Åfjord,Åfjord,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8
Roan,Åfjord,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8
Snillfjord,Orkland,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,8
Agdenes,Orkland,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,8
Meldal,Orkland,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10
Orkdal,Orkland,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9
,Orkland,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,8
Vikna,Nærøysund,Trøndelag,Trøndelag,Trøndelag,Namdalsk,8
Nærøy,Nærøysund,Trøndelag,Trøndelag,Trøndelag,Namdalsk,8
,Nærøysund,Trøndelag,Trøndelag,Trøndelag,Namdalsk,8
Rindal,Rindal,Møre og Romsdal,Trøndelag,Trøndelag,Uttrøndersk,8
Horten,Horten,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Holmestrand,Holmestrand,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Sande,Holmestrand,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Hof,Holmestrand,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Tønsberg,Tønsberg,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Re,Tønsberg,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Sandefjord,Sandefjord,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Andebu,Sandefjord,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Stokke,Sandefjord,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Larvik,Larvik,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Lardal,Larvik,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Porsgrunn,Porsgrunn,Telemark,Vestfold og Telemark,Telemark,Østlandsk,23
Skien,Skien,Telemark,Vestfold og Telemark,Telemark,Østlandsk,23
Notodden,Notodden,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21
Nøtterøy,Færder,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Tjøme,Færder,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
,Færder,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23
Siljan,Siljan,Telemark,Vestfold og Telemark,Telemark,Østlandsk,23
Bamble,Bamble,Telemark,Vestfold og Telemark,Telemark,Sørlandsk,23
Kragerø,Kragerø,Telemark,Vestfold og Telemark,Telemark,Sørlandsk,23
Drangedal,Drangedal,Telemark,Vestfold og Telemark,Telemark,Sørlandsk,21
Nome,Nome,Telemark,Vestfold og Telemark,Telemark,Østlandsk,23
Bø,Midt-Telemark,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21
Sauherad,Midt-Telemark,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21
,Midt-Telemark,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21
Tinn,Tinn,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21
Hjartdal,Hjartdal,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21
Seljord,Seljord,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21
Kviteseid,Kviteseid,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21
Nissedal,Nissedal,Telemark,Vestfold og Telemark,Telemark,Sørlandsk,21
Fyresdal,Fyresdal,Telemark,Vestfold og Telemark,Telemark,Sørlandsk,21
Tokke,Tokke,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21
Vinje,Vinje,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21
Bergen,Bergen,Hordaland,Vestland,Vestland,Sørvestlandsk,17
Flora,Kinn,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Vågsøy,Kinn,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
,Kinn,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Etne,Etne,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Sveio,Sveio,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Bømlo,Bømlo,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Stord,Stord,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Fitjar,Fitjar,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Tysnes,Tysnes,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Kvinnherad,Kvinnherad,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Jondal,Ullensvang,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Odda,Ullensvang,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Ullensvang,Ullensvang,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Eidfjord,Eidfjord,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Ulvik,Ulvik,Hordaland,Vestland,Vestland,Sørvestlandsk,15
Granvin,Voss,Hordaland,Vestland,Vestland,Sørvestlandsk,15
Voss,Voss,Hordaland,Vestland,Vestland,Sørvestlandsk,15
Kvam,Kvam,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Samnanger,Samnanger,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Fusa,Bjørnafjorden,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Os,Bjørnafjorden,Hordaland,Vestland,Vestland,Sørvestlandsk,17
,Bjørnafjorden,Hordaland,Vestland,Vestland,Sørvestlandsk,17
Austevoll,Austevoll,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Sund,Øygarden,Hordaland,Vestland,Vestland,Sørvestlandsk,17
Fjell,Øygarden,Hordaland,Vestland,Vestland,Sørvestlandsk,17
Øygarden,Øygarden,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Askøy,Askøy,Hordaland,Vestland,Vestland,Sørvestlandsk,17
Vaksdal,Vaksdal,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Modalen,Modalen,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Osterøy,Osterøy,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Meland,Alver,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Radøy,Alver,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Lindås,Alver,Hordaland,Vestland,Vestland,Sørvestlandsk,16
,Alver,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Austrheim,Austrheim,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Fedje,Fedje,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Masfjorden,Masfjorden,Hordaland,Vestland,Vestland,Sørvestlandsk,16
Gulen,Gulen,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Solund,Solund,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Hyllestad,Hyllestad,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Høyanger,Høyanger,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Vik,Vik,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14
Balestrand,Sogndal,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14
Leikanger,Sogndal,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14
Sogndal,Sogndal,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14
Aurland,Aurland,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14
Lærdal,Lærdal,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14
Årdal,Årdal,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14
Luster,Luster,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14
Askvoll,Askvoll,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Fjaler,Fjaler,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Gaular,Sunnfjord,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Jølster,Sunnfjord,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Førde,Sunnfjord,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Naustdal,Sunnfjord,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
,Sunnfjord,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Bremanger,Bremanger,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Vågsøy,Stad,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Selje,Stad,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,12
Eid,Stad,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
,Stad,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Gloppen,Gloppen,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Stryn,Stryn,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13
Halden,Halden,Østfold,Viken,Østfold,Østlandsk,23
Moss,Moss,Østfold,Viken,Østfold,Østlandsk,23
Rygge,Moss,Østfold,Viken,Østfold,Østlandsk,23
Sarpsborg,Sarpsborg,Østfold,Viken,Østfold,Østlandsk,23
Fredrikstad,Fredrikstad,Østfold,Viken,Østfold,Østlandsk,23
Drammen,Drammen,Buskerud,Viken,Buskerud,Østlandsk,23
Nedre Eiker,Drammen,Buskerud,Viken,Buskerud,Østlandsk,23
Svelvik,Drammen,Vestfold,Viken,Buskerud,Østlandsk,23
,Drammen,Vestfold,Viken,Buskerud,Østlandsk,23
Kongsberg,Kongsberg,Buskerud,Viken,Buskerud,Østlandsk,23
Ringerike,Ringerike,Buskerud,Viken,Buskerud,Østlandsk,21
Hvaler,Hvaler,Østfold,Viken,Østfold,Østlandsk,23
Aremark,Aremark,Østfold,Viken,Østfold,Østlandsk,23
Marker,Marker,Østfold,Viken,Østfold,Østlandsk,23
Trøgstad,Indre Østfold,Østfold,Viken,Østfold,Østlandsk,23
Spydeberg,Indre Østfold,Østfold,Viken,Østfold,Østlandsk,23
Askim,Indre Østfold,Østfold,Viken,Østfold,Østlandsk,23
Eidsberg,Indre Østfold,Østfold,Viken,Østfold,Østlandsk,23
Hobøl,Indre Østfold,Østfold,Viken,Østfold,Østlandsk,23
,Indre Østfold,Østfold,Viken,Østfold,Østlandsk,23
Skiptvet,Skiptvet,Østfold,Viken,Østfold,Østlandsk,23
Rakkestad,Rakkestad,Østfold,Viken,Østfold,Østlandsk,23
Råde,Råde,Østfold,Viken,Østfold,Østlandsk,23
Våler,Våler,Østfold,Viken,Østfold,Østlandsk,23
Vestby,Vestby,Akershus,Viken,Akershus,Østlandsk,22
Ski,Nordre Follo,Akershus,Viken,Akershus,Østlandsk,22
Oppegård,Nordre Follo,Akershus,Viken,Akershus,Østlandsk,22
,Nordre Follo,Akershus,Viken,Akershus,Østlandsk,22
Ås,Ås,Akershus,Viken,Akershus,Østlandsk,22
Frogn,Frogn,Akershus,Viken,Akershus,Østlandsk,22
Nesodden,Nesodden,Akershus,Viken,Akershus,Østlandsk,22
Bærum,Bærum,Akershus,Viken,Akershus,Østlandsk,22
Asker,Asker,Akershus,Viken,Akershus,Østlandsk,22
Røyken,Asker,Buskerud,Viken,Akershus,Østlandsk,23
Hurum,Asker,Buskerud,Viken,Akershus,Østlandsk,23
,Asker,Buskerud,Viken,Akershus,Østlandsk,23
Rømskog,Aurskog-Høland,Østfold,Viken,Akershus,Østlandsk,23
,Aurskog-Høland,Østfold,Viken,Akershus,Østlandsk,23
Aurskog-Høland,Aurskog-Høland,Akershus,Viken,Akershus,Østlandsk,22
Rælingen,Rælingen,Akershus,Viken,Akershus,Østlandsk,22
Enebakk,Enebakk,Akershus,Viken,Akershus,Østlandsk,22
Lørenskog,Lørenskog,Akershus,Viken,Akershus,Østlandsk,22
Sørum,Lillestrøm,Akershus,Viken,Akershus,Østlandsk,22
Fet,Lillestrøm,Akershus,Viken,Akershus,Østlandsk,22
Skedsmo,Lillestrøm,Akershus,Viken,Akershus,Østlandsk,22
,Lillestrøm,Akershus,Viken,Akershus,Østlandsk,22
Nittedal,Nittedal,Akershus,Viken,Akershus,Østlandsk,22
Gjerdrum,Gjerdrum,Akershus,Viken,Akershus,Østlandsk,22
Ullensaker,Ullensaker,Akershus,Viken,Akershus,Østlandsk,22
Nes,Nes,Akershus,Viken,Akershus,Østlandsk,22
Eidsvoll,Eidsvoll,Akershus,Viken,Akershus,Østlandsk,22
Nannestad,Nannestad,Akershus,Viken,Akershus,Østlandsk,22
Hurdal,Hurdal,Akershus,Viken,Akershus,Østlandsk,22
Hole,Hole,Buskerud,Viken,Buskerud,Østlandsk,21
Flå,Flå,Buskerud,Viken,Buskerud,Midlandsk,21
Nes,Nesbyen,Buskerud,Viken,Buskerud,Midlandsk,21
,Nesbyen,Buskerud,Viken,Buskerud,Midlandsk,21
Gol,Gol,Buskerud,Viken,Buskerud,Midlandsk,21
Hemsedal,Hemsedal,Buskerud,Viken,Buskerud,Midlandsk,21
Ål,Ål,Buskerud,Viken,Buskerud,Midlandsk,21
Hol,Hol,Buskerud,Viken,Buskerud,Midlandsk,21
Sigdal,Sigdal,Buskerud,Viken,Buskerud,Midlandsk,21
Krødsherad,Krødsherad,Buskerud,Viken,Buskerud,Midlandsk,21
Modum,Modum,Buskerud,Viken,Buskerud,Østlandsk,21
Øvre Eiker,Øvre Eiker,Buskerud,Viken,Buskerud,Østlandsk,23
Lier,Lier,Buskerud,Viken,Buskerud,Østlandsk,23
Flesberg,Flesberg,Buskerud,Viken,Buskerud,Midlandsk,21
Rollag,Rollag,Buskerud,Viken,Buskerud,Midlandsk,21
Nore og Uvdal,Nore og Uvdal,Buskerud,Viken,Buskerud,Midlandsk,21
Jevnaker,Jevnaker,Oppland,Viken,Akershus,Østlandsk,21
Lunner,Lunner,Oppland,Viken,Akershus,Østlandsk,21
